x,y,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,f_artifical,f_bare,f_cropland,f_highveg,f_lowveg,dem,tcb.sos,tcg.sos,tcw.sos,tcb.pos,tcg.pos,tcw.pos,tcb.eos,tcg.eos,tcw.eos,ursus_arctos
5105000,2625000,114.23076629638672,87,276.5604248046875,8074.17578125,277.9835205078125,-35.9945068359375,313.9945068359375,194.3241729736328,45.5054931640625,220.96153259277344,2.241758346557617,535.19781494140625,72.65384674072266,30.675825119018555,27.489011764526367,201.88461303710938,94.14286041259766,155.95054626464844,113.28022003173828,294,0,369,153,149,78,3176,811,-1255,3439,1439,-1203,2771,787,-1215,0
5125000,2625000,115.0054931640625,86,275.4340515136719,8069.791015625,278,-34.92307662963867,313,195,22.576923370361328,221.7142791748047,3.0329670906066895,543.70330810546875,72.82967376708984,31.126373291015625,27.230770111083984,203.12088012695312,94.631866455078125,160.41209411621094,114.46154022216797,142,0,687,72,84,81,3250,1110,-1284,3803,1336,-1448,2924,667,-1436,0
5235000,2625000,111.45054626464844,82,268.30218505859375,7946.25830078125,268.8132019042969,-36.18132019042969,305.1483459472656,190.42308044433594,36.68681335449219,216.15383911132812,1.2637362480163574,654.9615478515625,90.97801971435547,36.346153259277344,27.214284896850586,251.6758270263672,115.27472686767578,179.14285278320312,144.489013671875,6,0,134,646,200,189,3176,845,-1572,3390,2250,-993,2826,1287,-1186,0
5395000,2625000,92.379119873046875,80.21428680419922,265.72528076171875,7907.41748046875,247.59339904785156,-55.30769348144531,302.8791198730469,187.96153259277344,-11.576923370361328,196.2967071533203,-16.120878219604492,657.73077392578125,103.95054626464844,28.27472496032715,46.38461685180664,292.0714416503906,86.43955993652344,237.41758728027344,94.32417297363281,29,3,33,300,629,522,3427,1104,-1571,3515,2245,-1009,3142,1200,-1465,0
5545000,2625000,63.77472686767578,82,262.5659484863281,8164.939453125,222.62637329101562,-90.4120864868164,313.1044006347656,169.3241729736328,-43.626373291015625,171.57691955566406,-47.14285659790039,798.23077392578125,119.12088012695312,37.9945068359375,44.620880126953125,350.6263732910156,115.62088012695312,305.1373596191406,122.43406677246094,4,0,0,788,196,939,2590,930,-937,3008,2238,-740,2232,1187,-758,1
5735000,2625000,116.1043930053711,84.862640380859375,259.25823974609375,8596.818359375,284.4835205078125,-42.53845977783203,327.010986328125,200.6648406982422,2.4560439586639404,231.10989379882812,0.12087912112474442,432.9615478515625,61.67033004760742,25.043956756591797,28.604394912719727,169.21978759765625,75.56044006347656,120.42857360839844,82.879119873046875,23,0,743,67,124,16,3444,893,-1629,3955,1430,-1637,3590,516,-1858,0
5835000,2625000,120.57142639160156,51.69643020629883,187.39285278320312,8001.52392578125,263.9047546386719,-11.982142448425293,275.8511962890625,200.19642639160156,40.25,232,14.559523582458496,331.9464416503906,34.76785659790039,20.803571701049805,16.922618865966797,101.22618865966797,66.38690185546875,92.42857360839844,72.53571319580078,0,0,0,29,898,2,2123,396,-828,2996,1919,-703,2749,1330,-950,0
3475000,2615000,129.14210510253906,64.147369384765625,316.8052673339844,4887.583984375,239.0631561279297,36.61579132080078,202.42105102539062,83.2631607055664,193.0736846923828,199.2105255126953,66.9631576538086,775.87896728515625,95.90526580810547,42.30526351928711,27.6842098236084,280.2315673828125,128.61578369140625,134.71578979492188,225.23158264160156,62,0,744,33,161,20,3687,1836,-1234,4447,1268,-1892,3900,732,-1998,0
3585000,2615000,120.87374114990234,75.36869049072266,328.2979736328125,5430.36865234375,249.0454559326172,19.439393997192383,229.90403747558594,64.40403747558594,189.90403747558594,198.85858154296875,50.88383865356445,768.5252685546875,86.96464538574219,52.23737335205078,16.671716690063477,252.31817626953125,160.7070770263672,164.55050659179688,225.86363220214844,4,0,661,80,254,150,3783,2214,-1055,4194,1630,-1648,3865,948,-1813,0
3625000,2615000,119.28888702392578,73.03333282470703,318.8777770996094,5502.5888671875,248.227783203125,18.183332443237305,230,62.13888931274414,192.72222900390625,198.6777801513672,48.5444450378418,825.81109619140625,89.21666717529297,53.85555648803711,14,258.29443359375,169.19444274902344,181.54444885253906,235.727783203125,3,0,100,125,768,196,3514,2287,-1015,3731,2096,-1395,3263,1348,-1482,0
3685000,2615000,113.56060791015625,73,313.16162109375,5617.171875,245.01010131835938,11.166666984558105,233.78787231445312,55.44444274902344,185.38888549804688,194.84848022460938,41.449493408203125,873.934326171875,86.02020263671875,60.601009368896484,9.722222328186035,249.080810546875,190.5,200.93434143066406,240.0858612060547,5,0,155,201,639,310,3391,2225,-1003,3896,1958,-1501,3167,1515,-1203,0
3705000,2615000,112.37777709960938,73.80000305175781,312.29998779296875,5658.81103515625,244.83888244628906,9.272222518920898,235.5500030517578,90.366668701171875,141.85000610351562,194.17222595214844,39.738887786865234,850.0333251953125,84.67222595214844,60.844444274902344,9.766666412353516,240.05555725097656,186.59445190429688,196.0833282470703,231.0111083984375,8,0,174,93,725,334,3544,2381,-912,3954,1789,-1646,3348,1300,-1439,0
